address,amenities,booking_links.agoda,booking_links.airbnb,booking_links.booking_com,booking_links.expedia,booking_links.jalan,booking_links.official,booking_links.rakuten,check_in,check_out,country,distance_to_perisher_km,distance_to_skitube_km,distance_to_thredbo_km,drive_min_to_each_mountain.charlotte_pass,drive_min_to_each_mountain.kita_shiga_kogen,drive_min_to_each_mountain.kita_shiga_komaruyama,drive_min_to_each_mountain.okushiga_kogen,drive_min_to_each_mountain.perisher,drive_min_to_each_mountain.perisher_via_oversnow,drive_min_to_each_mountain.perisher_via_skitube,drive_min_to_each_mountain.ryuoo,drive_min_to_each_mountain.ryuoo_ski_park,drive_min_to_each_mountain.shiga_kogen,drive_min_to_each_mountain.shiga_kogen_hasuike,drive_min_to_each_mountain.shiga_kogen_main_area,drive_min_to_each_mountain.shiga_kogen_okushiga,drive_min_to_each_mountain.thredbo,drive_min_to_each_mountain.xjam_takai_fuji,drive_min_to_each_mountain.yakebitai,drive_min_to_each_mountain.yomase_mount_jeans,drive_min_to_each_mountain.yomase_onsen,drive_min_to_each_mountain.yomase_onsen_xjam,drive_min_to_nearest_mountain,drying_room,english_spoken,id,lat,lng,long_description,meal_plan,name,name_local,nearest_mountain,notes,onsen,pet_friendly,phone,photos,price_band,region,room_count,self_contained,short_description,ski_storage,source_urls,tattoo_policy,town,type,walk_min_to_yudanaka_station,website,yukata_provided
Berridale NSW 2628,Free WiFi | Self-contained | Sleeps 6-8 | Linen provided | Parking,,https://www.airbnb.com/berridale-australia/stays,,,,,,14:00,,AU,57,55,75,65,,,,40,,,,,,,,,55,,,,,,40,,yes,berridale-alpine-retreat-airbnb,-36.3808,148.824,"A guest-favourite Airbnb cabin in central Berridale, within walking distance to the pub, cafe, restaurant, and winery. The cabin sleeps up to 8 guests (6 comfortably) and is positioned as a practical ski base — Jindabyne is 15 minutes away and ski resorts are 45 minutes drive. Check-in during the June–September ski season is 4:30pm Mon–Thu; contact host for earlier times. Also listed on Stayz.",,Berridale Alpine Retreat,,Perisher,,,,,,$$,snowy_mountains,,yes,"Spacious self-contained cabin in Berridale township, walking distance to cafes, sleeping 6-8 guests.",,https://www.airbnb.com/berridale-australia/stays | https://www.stayz.com.au/holiday-rental/p9963108,,berridale,airbnb,,https://www.airbnb.com/berridale-australia/stays,
Berridale NSW 2628,Vintage decor | 1960s jazz/pop record collection | Après-ski martinis (supplied) | Strong coffee | Self-contained,,https://www.airbnb.com/berridale-australia/stays,,,,,,,,AU,57,55,75,65,,,,40,,,,,,,,,55,,,,,,40,,yes,martini-vintage-ski-lodge-berridale,-36.381,148.8238,"A top-rated Airbnb in Berridale that leans hard into vintage Australian ski culture. The property is a heritage Snowy Mountains Scheme-era house kitted out with 1960s decor, jazz and pop records, retro appliances, and the promise of après-ski martinis. Unique and characterful — this is the antidote to sterile motel rooms. Great for couples or groups wanting something memorable over budget-anonymous accommodation. Exact room count not disclosed by host.",,Martini: Vintage Ski Lodge,,Perisher,,,,,,$$,snowy_mountains,,yes,"Heritage Snowy Scheme house decked out in 1960s ski nostalgia — records, martinis, and après-ski character.",,https://www.airbnb.com/berridale-australia/stays | https://www.airbnb.com/berridale-australia/stays/family-friendly,,berridale,airbnb,,https://www.airbnb.com/berridale-australia/stays,
Berridale NSW 2628,3 bedrooms | 2 bathrooms | Open-plan living | Laundry | Free WiFi | BBQ | Firepit | Outdoor dining table | Linen and towels supplied,,https://www.airbnb.com/berridale-australia/stays,,,,,,,,AU,57,55,75,65,,,,40,,,,,,,,,55,,,,,,40,,yes,rust-on-kiparra-berridale,-36.381,148.824,"A top-guest-favourite Airbnb on Kiparra Street in Berridale, this 3-bedroom/2-bathroom home is custom-designed using recycled and handmade rustic materials. The open-plan layout includes full laundry, outdoor BBQ, firepit, and outdoor dining table. Linen and towels supplied, free WiFi included. Centrally located — 5-minute walk to the winery, pub, cafes, and shops. Drive times: Jindabyne 25 min, Thredbo/Perisher 50–55 min.",,Rust on Kiparra,,Perisher,,,,,,$$,snowy_mountains,3,yes,"Top-rated 3-bedroom artistic home with rustic recycled features, firepit, and 5-minute walk to the winery and pub.",,https://www.airbnb.com/berridale-australia/stays | http://dwcreations.com.au/accommodation/,,berridale,airbnb,,http://dwcreations.com.au/accommodation/,
"360 Bobundara Road, Berridale NSW 2628","Kitchenette (oven, microwave) | Private bathroom (shower) | Air-conditioning | Heating | Outdoor fireplace | Sun terrace/patio | Mountain views | Free WiFi | Free private parking | Luggage storage | Smoke alarms | Fire extinguisher | First aid kit | Board games",,https://www.airbnb.com/berridale-australia/stays,,,,,,14:00,11:00,AU,57,55,75,65,,,,40,,,,,,,,,55,,,,,,40,no,yes,bliss-cabin-belaxed-farm-berridale,-36.402,148.815,"A superhost Airbnb/Booking.com property set on a 62.5-acre farm outside Berridale at 360 Bobundara Road. The one-bedroom, 36 m² cabin has a kitchenette with oven and microwave, private bathroom, air-conditioning, patio with mountain views, outdoor fireplace, and sun terrace. Pet-friendly with a damage deposit. The property hosts kangaroos, wombats, and farm animals. Located 24 km from the snowfields and 29 km from Lake Jindabyne.",,Bliss Cabin @ Belaxed Farm,,Perisher,,,yes,,,$$,snowy_mountains,1,yes,"Pet-friendly 1-bedroom farm cabin on 62.5 acres with firepit, mountain views, wildlife, and self-contained kitchen.",no,https://www.bedandbreakfast.eu/en/a/Dh7Zu4m6NPbT/bliss-cabin-belaxed-farm-berridale | https://www.booking.com/chalet/region/au/snowy-mountains.en-gb.html | https://www.airbnb.com/berridale-australia/stays,,berridale,airbnb,,https://www.airbnb.com/berridale-australia/stays,
Berridale NSW 2628,"Finnish wood-fired sauna | Campfire | Farm animals | Snowy River access | Wildlife spotting (platypus, wombat) | Off-grid feel | Pet-friendly cabins | Canoe hire",,https://www.airbnb.com/berridale-australia/stays,,,,https://www.lappifarm.com.au,,,,AU,62,60,80,70,,,,45,,,,,,,,,60,,,,,,45,,yes,lappi-farm-berridale,-36.42,148.78,"Lappi Farm is a Finnish-heritage farmstay offering five handcrafted solid cedar log cabins (built in the 1980s) on the banks of the Snowy River near Berridale. Each cabin is positioned for privacy with uninterrupted views of the river and Monaro Plains. Facilities include a traditional wood-fired Finnish sauna, campfire areas, and the opportunity to meet farm animals and spot platypus and wombats. Pet-friendly. Accessible by AWD only for some sections. Also listed on Airbnb as 'Mokki'. 2 hours from Canberra.",,Lappi Farm Cabins,,Perisher,,,yes,,,$$,snowy_mountains,5,no,"Pet-friendly Finnish-style cedar log cabins on the Snowy River with wood-fired sauna, campfire, and farmstay atmosphere.",,https://www.lappifarm.com.au | https://www.airbnb.com/berridale-australia/stays,,berridale,lodge,,https://www.lappifarm.com.au,
"35 Sharp Street, Cooma NSW 2630",free_wifi | free_parking | air_conditioning | heating | microwave | toaster | fridge | tea_coffee | ensuite | family_rooms | self_contained_apartments | daily_housekeeping,,,https://www.booking.com/hotel/au/cooma-motor-inn.html,,,https://www.coomamotorinn.com.au,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,cooma-motor-inn,-36.2357,149.1251,"Cooma Motor Inn (formerly Sovereign Inn) sits centrally on Sharp Street with 43 well-appointed rooms including standard queen, twin, family, and self-contained one- and two-bedroom garden apartments. The property is next door to Rhythm Snowsports ski-hire and walking distance from the main café strip. A reliable base for ski season families who want kitchen facilities without the price premium of mountain resorts.",,Cooma Motor Inn,,Perisher,,,no,+61 2 6452 1366,https://www.coomamotorinn.com.au,$$,snowy_mountains,43,yes,Largest motel in Cooma CBD; 43 rooms ranging from standard queens to self-contained apartments.,no,https://www.coomamotorinn.com.au | https://www.tripadvisor.com/Hotel_Review-g261610-d1766106-Reviews-Cooma_Motor_Inn-Cooma_New_South_Wales.html,,cooma,motel,,https://www.coomamotorinn.com.au,
"19 Monaro Highway, Cooma NSW 2630",free_wifi | free_parking | air_conditioning | heating | fridge | kettle | bar | pool_table | fireplace_lobby | laundry | daily_housekeeping | family_rooms,,,https://www.booking.com/hotel/au/marlborough-motor-inn.html,https://www.expedia.com/Cooma-Hotels-Snow-Season-Motor-Inn.h18553989.Hotel-Information,,https://snowseasonmotorinn.com,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,snow-season-motor-inn,-36.228,149.1202,"Snow Season Motor Inn (formerly Marlborough Motor Inn) on the Monaro Highway is Cooma's biggest single motel, with 60 units spread across 4 low-rise buildings. The log-fire lobby bar and pool table give it a ski-lodge feel. Note: the on-site restaurant (Stockman's) is currently closed, but the bar remains open. Good choice for groups and coach tours given its scale and ample parking.",,Snow Season Motor Inn,,Perisher,,,no,+61 2 6452 1900,https://snowseasonmotorinn.com,$$,snowy_mountains,60,no,Largest-capacity motel in Cooma with 60 rooms; first motel on entry from Canberra/Sydney.,no,https://snowseasonmotorinn.com | https://www.booking.com/hotel/au/marlborough-motor-inn.html | https://www.tripadvisor.com/Hotel_Review-g261610-d255901-Reviews-Snow_Season_Motor_Inn-Cooma_New_South_Wales.html,,cooma,motel,,https://snowseasonmotorinn.com,
"15 Sharp Street, Cooma NSW 2630",free_wifi | free_parking | indoor_heated_pool | spa_rooms | bbq_area | guest_laundry | air_conditioning | heating | kettle | family_rooms | interconnecting_rooms | kitchenette,,,https://www.booking.com/hotel/au/kinross-inn.html,,,https://www.kinrossinn.com.au,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,kinross-inn,-36.2328,149.1228,"Kinross Inn on Sharp Street offers a step up from the typical Cooma motel with an indoor heated saltwater pool, executive spa rooms, and family suites with kitchenettes. The property is set back from the highway for quiet, yet is less than a kilometre from the main café strip. A popular choice for ski families who want more than a basic room without paying mountain resort prices.",,Kinross Inn,,Perisher,,,no,+61 2 6452 3577,https://www.kinrossinn.com.au,$$,snowy_mountains,30,yes,Well-appointed motel with indoor heated pool; short walk from CBD restaurants.,no,https://www.kinrossinn.com.au | https://www.kayak.com/Cooma-Hotels-Kinross-Inn.487921.ksp | https://www.booking.com/hotel/au/kinross-inn.html,,cooma,motel,,https://www.kinrossinn.com.au,
"252 Sharp Street, Cooma NSW 2630",free_wifi | free_parking | smart_tv_netflix | air_conditioning | heating | electric_blankets | microwave | toaster | fridge | kettle | daily_housekeeping | garden,,,,,,https://www.whitemanor.com.au,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,white-manor-motel,-36.239,149.1295,"White Manor Motel consistently earns top TripAdvisor scores for cleanliness and is one of the best mid-range options in Cooma. The 12 air-conditioned rooms (queen, twin, family) feature smart TVs with Netflix, microwave, toaster, and fridge. The property sits on Sharp Street with mountain backdrop views. Small and personal — the antithesis of the highway chain motel.",,White Manor Motel,,Perisher,,,no,+61 2 6452 1152,https://www.whitemanor.com.au,$$,snowy_mountains,12,no,Highly-rated family-run motel 1.1 km from CBD; 12 immaculate rooms with mountain views.,no,https://www.whitemanor.com.au | https://www.hotelscombined.com/Hotel/White_Manor_Motel.htm | https://www.tripadvisor.com/Hotels-g261610-Cooma_New_South_Wales-Hotels.html,,cooma,motel,,https://www.whitemanor.com.au,
"42 Bombala Street, Cooma NSW 2630",free_wifi | free_parking | air_conditioning | heating | fridge | tea_coffee | daily_housekeeping,,,,,,https://www.nebulacooma.com.au,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,nebula-motel,-36.2357,149.1258,"Nestled in central Cooma, the Nebula Motel pitches itself as a boutique stay within walking distance of all town amenities — shops, restaurants, pubs, and the Visitors Centre. Popular with skiers who want to be on foot for the evening without needing a car. The motel has a solid review base (249 TripAdvisor reviews) and consistent scores for location and value.",,Nebula Motel,,Perisher,,,no,+61 2 6452 4133,https://www.nebulacooma.com.au,$,snowy_mountains,20,no,Central boutique motel on Bombala Street; walking distance to shops and restaurants.,no,https://www.nebulacooma.com.au | https://www.friendlyfaces.info/accommodation/details/nebula-motel | https://www.tripadvisor.com/Hotels-g261610-Cooma_New_South_Wales-Hotels.html,,cooma,motel,,https://www.nebulacooma.com.au,
"192 Sharp Street, Cooma NSW 2630",free_wifi | free_parking | air_conditioning | heating | fridge | tea_coffee,,,,,,https://www.altaircooma.com.au,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,altair-motel,-36.237,149.1275,The Altair Motel is a purpose-designed boutique motel on Sharp Street aiming for a homely atmosphere — a notch above the standard highway motel. Positive TripAdvisor scores (3.8 from 75 reviews) reflect comfortable rooms and friendly service. Centrally located near cafes and snowsports hire shops. Contact is primarily mobile-first.,,Altair Motel,,Perisher,,,no,+61 422 787 131,https://www.altaircooma.com.au,$$,snowy_mountains,15,no,Boutique-style motel on Sharp Street designed as a home-away-from-home.,no,https://www.altaircooma.com.au | https://visitcooma.com.au/accommodation/altair-motel/,,cooma,motel,,https://www.altaircooma.com.au,
"12 Chapman Street, Cooma NSW 2630",free_parking | air_conditioning | heating | electric_blankets | bar | open_fire | restaurant | bbq | pool_outdoor_summer | recreation_room | karaoke | cots,,,https://www.booking.com/hotel/au/high-country-motel.html,,,https://www.coomahighcountrymotel.com,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,high-country-motel,-36.234,149.121,"The High Country Motel on Chapman Street offers 40 rooms set in a quiet bush-adjacent location, away from highway noise. Amenities include an outdoor pool (summer only), bar with open fire, licensed restaurant, karaoke, and BBQ area. Well-suited to larger groups and coach tours. Renovated rooms include microwaves and bar fridges. Accepts credit cards.",,High Country Motel,,Perisher,,,no,+61 2 6452 1111,https://www.coomahighcountrymotel.com,$$,snowy_mountains,40,no,"Quiet 40-unit motel with outdoor pool, bar, and restaurant; great for groups and coach tours.",no,https://www.coomahighcountrymotel.com | https://www.booking.com/hotel/au/high-country-motel.html | https://visitcooma.com.au/accommodation/high-country-motel/,,cooma,motel,,https://www.coomahighcountrymotel.com,
"6 Sharp Street, Cooma NSW 2630",free_wifi | free_parking | ev_chargers | air_conditioning | heating | fridge | kettle | bar | open_fire | restaurant | ski_hire_adjacent | laundry | soundproof_rooms,,,https://www.booking.com/hotel/au/cooma-motor-lodge-motel.html,,,,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,cooma-motor-lodge,-36.2345,149.123,"The Cooma Motor Lodge (6 Sharp Street, Golden Chain member) has been a Cooma institution since 1965 and was renovated in 2007. With 44 rooms on two floors and EV chargers recently installed, it suits road-trippers and snowfield-bound drivers alike. It sits directly next to Rhythm Snowsports ski hire, making it exceptionally practical for ski season. The in-house bistro and log fire bar create an après-ski atmosphere.",,Cooma Motor Lodge,,Perisher,,,yes,+61 2 6452 1888,,$$,snowy_mountains,44,no,44-room Golden Chain motel next to Rhythm Snowsports hire; EV chargers on-site.,yes,https://www.travelweekly.com/Hotels/Cooma-Australia/Cooma-Motor-Lodge-p3635533 | https://www.kayak.com/Cooma-Hotels-Cooma-Motor-Lodge-Motel.46671.ksp | https://www.guestreservations.com/cooma-motor-lodge-motel/booking,,cooma,motel,,https://www.coomamotorlodge.com.au,
"170 Sharp Street, Cooma NSW 2630",free_wifi | free_parking | air_conditioning | bar | bistro | open_fire | secure_parking_motorcycles | atm | conference_space | wheelchair_accessible_parking,,,https://www.booking.com/hotel/au/the-alpine.html,,,https://www.alpinehotel.com.au,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,alpine-hotel-cooma,-36.2362,149.1265,"The Alpine Hotel on Sharp Street is a renovated two-storey pub hotel with 27 guestrooms, an open fire lounge, and a bistro serving lunch and dinner 7 days. With 10 beers on tap and secure garage parking for motorcycles, it caters to a wide mix of travellers. Ranked #1 Best Value in Cooma on TripAdvisor. Pet policy: no pets. Airport shuttle: not available.",,Alpine Hotel,,Perisher,,,no,+61 2 6452 1466,,$,snowy_mountains,27,no,"Central pub hotel with 27 rooms, bistro, and 10 beers on tap; TripAdvisor #1 best-value.",no,https://www.accommodationaustralia.com.au/accommodation/tasmania/nsw/cooma/alpine-hotel/31665 | https://www.hotelscombined.com/Hotel/The_Alpine_Hotel.htm | https://www.tripadvisor.com/Hotels-g261610-Cooma_New_South_Wales-Hotels.html,,cooma,hotel,,https://www.alpinehotel.com.au,
"59-61 Lambie Street (cnr Sharp & Lambie), Cooma NSW 2630",bar | bistro | games_room | shared_bathrooms | heater | towels_linen | front_verandah_dining,,,,,,https://royalhotelcooma.com,,14:00,12:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,royal-hotel-cooma,-36.2379,149.1163,"The Royal Hotel is a heritage-listed two-storey dressed-freestone pub on the corner of Sharp and Lambie Streets, built in 1858 and listed on the NSW State Heritage Register in 1999. Pub-style rooms (shared bathrooms) are budget-priced — great for skiers on a tight budget. The Royal Bistro serves traditional Australian pub meals Tuesday–Sunday. The building's Georgian/Victorian character makes it one of Cooma's most photographed landmarks.",,Royal Hotel Cooma,,Perisher,,,no,+61 2 6452 2132,,$,snowy_mountains,12,no,NSW State Heritage-listed sandstone pub (1858) with budget pub rooms and a popular bistro.,no,"https://en.wikipedia.org/wiki/Royal_Hotel,_Cooma | https://publocation.com.au/pubs/nsw/cooma/royal-hotel | https://www.trivago.com.au/en-AU/oar/royal-hotel-cooma?search=100-6733194",,cooma,hotel,,https://royalhotelcooma.com,
"79 Massie Street, Cooma NSW 2630",bar | bistro | drive_through_bottle_shop | cinema | function_rooms,,,https://www.booking.com/hotel/au/cooma.html,,,,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,cooma-hotel,-36.2348,149.1238,"Built in 1862, the Cooma Hotel on the corner of Massie and Vale Streets claims the title of Cooma's oldest continually operating hotel. Beyond accommodation, it functions as a community hub with bar, bistro serving lunch and dinner, drive-through bottle shop, cinema, and function facilities. Budget pub-style rooms are available. Phone updated to +61 2 6404 7530 under new management.",,Cooma Hotel,,Perisher,,,no,+61 2 6404 7530,,$,snowy_mountains,10,no,"Oldest continuously operating hotel in Cooma (1862); bar, bistro, drive-through bottle shop.",no,https://visitcooma.com.au/coffee-food-wine/cooma-hotel/ | https://www.tripadvisor.com/Restaurant_Review-g261610-d6107786-Reviews-Cooma_Hotel-Cooma_New_South_Wales.html | https://www.booking.com/hotel/au/cooma.html,,cooma,hotel,,https://www.coomahotel.com.au,
"32 Massie Street, Cooma NSW 2630",free_wifi | free_parking | breakfast_included | central_heating | en_suite | garden | library | parlour | off_street_parking,,,,,,https://www.ellstanmor.com.au,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,ellstanmor-country-guesthouse,-36.2355,149.1247,"Ellstanmor Country Guesthouse occupies an 1875 Victorian home on Massie Street in the heart of Cooma's CBD. The property features ornate staircases, French doors, a library, parlour, and 4 queen rooms each with en-suite. Guests are served self-service continental or cooked-to-order country breakfasts. A treadmill, astronomical telescope, and genuine character distinguish this B&B from any motel. Rated #1 B&B in Cooma and in the top 10% of TripAdvisor properties globally.",,Ellstanmor Country Guesthouse,,Perisher,,,no,,https://www.ellstanmor.com.au,$$,snowy_mountains,4,no,Victorian-era B&B (1875) in Cooma CBD with 4 en-suite rooms; TripAdvisor #1 B&B.,no,https://www.tripadvisor.com/Hotel_Review-g261610-d506727-Reviews-Ellstanmor_Country_Guesthouse-Cooma_New_South_Wales.html | https://www.ellstanmor.com.au | https://au.hotels.com/ho3439252256/ellstanmor-guesthouse-cooma/,,cooma,lodge,,https://www.ellstanmor.com.au,
"Lambie Street, Cooma NSW 2630",fully_equipped_kitchen | outdoor_kitchen_bbq | underfloor_hydronic_heating | luxury_bathrooms | linen_bedding | smart_appliances | private_backyard | self_contained | no_wifi_noted,,,,,,https://neststays.com.au,,15:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,nest-stays-by-birdsnest,-36.2378,149.1158,"Nest Stays comprises two lovingly restored 1860s heritage terrace homes on picturesque Lambie Street, curated by Australian fashion retailer birdsnest. Terrace 1 sleeps 6 adults across 3 bedrooms; Terrace 2 sleeps 6 across 4 bedrooms with an oversized stone bath. Both feature fully equipped kitchens, cosy lounges, underfloor hydronic heating, 100% linen bedding, iKou organic bath products, and private backyard patios with outdoor kitchens. TripAdvisor's top-rated property in Cooma (5.0/5, 24 reviews). Perfect for girlfriend groups or ski families wanting a premium basecamp.",,Nest Stays by Birdsnest,,Perisher,,,no,,https://www.stayinthebush.com.au/stay-in-the-bush/p/neststays-by-birdsnest,$$$$,snowy_mountains,7,yes,Two boutique heritage terraces on Lambie Street by fashion brand birdsnest; luxury self-contained.,no,https://www.tripadvisor.com/Hotel_Review-g261610-d24166722-Reviews-Nest_Stays_By_Birdsnest-Cooma_New_South_Wales.html | https://www.stayinthebush.com.au/stay-in-the-bush/p/neststays-by-birdsnest,,cooma,apartment,,https://neststays.com.au,
"286 Sharp Street (Snowy Mountains Hwy), Cooma NSW 2630",cabins_self_contained | powered_sites | unpowered_sites | bbq_area | camp_kitchen | mini_golf | playground | activity_room | modern_amenities | drive_through_sites,,,,,,https://coomaholidaypark.com.au,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,cooma-holiday-park,-36.24,149.13,"Formerly the Cooma Snowy Mountains Tourist Park and now operating as Cooma Holiday Park, this central park at 286 Sharp Street sits on the Snowy Mountains Highway. Options range from self-contained Banksia Cabins (2 bedrooms, full kitchen, sleeps 4) to budget Snowgum Cabins and powered/unpowered caravan sites from $35/night. Facilities include mini golf, playground, activity room, and BBQ areas. Walking distance to town centre shops and cafes. The budget option for families and van travellers.",,Cooma Holiday Park,,Perisher,,,yes,+61 2 6452 1828,https://coomaholidaypark.com.au,$,snowy_mountains,100,yes,"Family-friendly caravan park in central Cooma with cabins, powered and unpowered sites.",no,https://coomaholidaypark.com.au | https://visitcooma.com.au/accommodation/cooma-holiday-park/ | https://www.tripadvisor.com/Hotel_Review-g261610-d6428997-Reviews-Cooma_Holiday_Park-Cooma_New_South_Wales.html,,cooma,hostel,,https://coomaholidaypark.com.au,
"651 Snowy Mountains Highway, Pine Valley, Cooma NSW 2630",free_parking | air_conditioning | heating | fridge | tea_coffee | bbq | complimentary_coffee | roadhouse_cafe_adjacent,,,https://www.booking.com/hotel/au/alpine-country-motel.html,,,,,14:00,10:00,AU,85,,90,90,,,,75,,,,,,,,,85,,,,,,75,no,yes,alpine-country-motel,-36.25,149.112,"The Alpine Country Motel (formerly Alpine Country Motor Inn) sits at 651 Snowy Mountains Highway on the approach from Jindabyne, 4–5 minutes south of central Cooma. On 4 acres of land with a Metro Roadhouse café attached, it's the first stop heading toward the ski fields from Cooma. Complimentary coffee for guests. The cheapest bookable rates in the Cooma area, often from $117/night.",,Alpine Country Motel,,Perisher,,,no,,,$,snowy_mountains,20,no,Roadside motel on Snowy Mountains Hwy 5 km south of Cooma CBD; adjacent Metro Roadhouse café.,no,https://www.booking.com/hotel/au/alpine-country-motel.html | https://alpine-country-motel.newsouthwaleshotels.net/en/ | https://www.guestreservations.com/alpine-country-motel/booking,,cooma,motel,,https://www.booking.com/hotel/au/alpine-country-motel.html,
Cooma NSW 2630,breakfast_included | free_wifi | free_parking,,,,,,,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,cromwell-house-cooma,-36.235,149.124,"Cromwell House is a boutique guesthouse property in central Cooma with exceptional TripAdvisor scores (4.9/5 from 49 reviews), indicating a genuinely outstanding guest experience. The property includes breakfast and is listed in the TripAdvisor B&B/inn category. It represents Cooma's premium heritage accommodation tier alongside Ellstanmor and Nest Stays.",,Cromwell House,,Perisher,,,no,,,$$$,snowy_mountains,6,no,Boutique B&B; highly-rated heritage-style guesthouse near Cooma CBD (TripAdvisor 4.9/5).,no,https://www.tripadvisor.com/Hotels-g261610-Cooma_New_South_Wales-Hotels.html,,cooma,lodge,,,
"28-30 Soho Street, Cooma NSW 2630",central_heating | tv | fridge | tea_coffee | toaster | cots | babysitting | parking | self_contained_units,,,,,,,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,bunkhouse-motel-cooma,-36.2343,149.1228,"The Bunkhouse Motel on Soho Street is a budget-friendly option with 29 units — 18 standard rooms and 11 self-contained units with cooking facilities. Ground-floor access, central heating, TV, and babysitting availability make it popular with budget ski families. One block from the Cooma Ex-Services Club (RSL) and central to the main street strip.",,Bunkhouse Motel,,Perisher,,,no,,,$,snowy_mountains,29,yes,Budget 29-unit motel centrally located 1 block from the RSL club; some self-contained units.,no,https://visitcooma.com.au/accommodation/bunkhouse-motel/ | https://www.tripadvisor.com/Hotel_Review-g261610-d278975-Reviews-Bunkhouse_Motel-Cooma_New_South_Wales.html,,cooma,motel,,https://visitcooma.com.au/accommodation/bunkhouse-motel/,
Cooma NSW 2630,free_wifi | free_parking | air_conditioning | heating | fridge | tea_coffee,,,,,,,,14:00,10:00,AU,90,,95,95,,,,80,,,,,,,,,90,,,,,,80,no,yes,alkira-motel,-36.236,149.126,"The Alkira Motel earns strong TripAdvisor marks (4.1/5, 71 reviews) and appears repeatedly in best-value and family-friendly shortlists for Cooma. Located close to the Snowy Hydro Discovery Centre and within reach of the town's cafes and snowsports hire shops. A solid mid-tier option for those prioritising cleanliness and value.",,Alkira Motel,,Perisher,,,no,,,$$,snowy_mountains,20,no,"Well-reviewed motel near the Snowy Hydro Discovery Centre; family-friendly, TripAdvisor 4.1.",no,https://www.tripadvisor.com/Hotels-g261610-Cooma_New_South_Wales-Hotels.html,,cooma,motel,,,
"Yamanouchi, Shimotakai-gun, Nagano 381-0401",onsen | rotenburo | private_spa | sauna | restaurant | bar | parking | wifi | shuttle_to_station | shuttle_to_snow_monkey_park,,,https://www.booking.com/hotel/jp/yorozuya.html,,,https://yudanaka-yoroduya.com,,15:00,10:00,JP,,,,,20,,,,,,,15,,30,,50,,,,20,,,30,,limited,yorozuya-yudanaka,36.7443,138.4221,"Yorozuya is one of Yudanaka's most storied inns, blending Meiji-era elegance with modern comforts. Its showpiece is the Momoyama-buro (桃山風呂), a stunning wooden bathhouse registered as a Tangible Cultural Property of Japan, featuring soaring ceilings and ornate joinery. The property offers both indoor and outdoor rotenburo, kaiseki cuisine using north-Nagano mountain and river produce, and — since 2023 — a private spa suite called 'Bon'. Shuttle service available to Yudanaka Station and Snow Monkey Park.",half_board,Yorozuya,よろづや,Shiga Kogen (Hasuike/Tannenomori gate),Momoyama-buro is a registered Tangible Cultural Property of Japan. Private SPA 'Bon' opened Feb 2023 — 2 sauna types + private bath. Highly recommended for special occasions.,both,,+81-269-33-3131,,$$$$,yamanouchi,30,,Historic prestige ryokan with a nationally registered cultural property bathhouse (Momoyama-buro) and abundant natural hot spring flow.,,https://yudanaka-yoroduya.com | https://www.booking.com/hotel/jp/yorozuya.ja.html,unknown,yudanaka,ryokan,10,https://yudanaka-yoroduya.com,yes
