address,apres_ski,country,cuisine,english_menu,groceries,hours.closed,hours.dinner,hours.friday,hours.lunch,hours.monday,hours.morning,hours.note,hours.saturday,hours.sunday,hours.thursday,hours.tuesday,hours.wednesday,id,kid_friendly,last_order_time,lat,lng,long_description,name,name_local,notes,payment,phone,photos,price_band,region,reservation,reservation_link,short_description,signature_dishes,source_urls,takeaway,town,type,vegetarian_friendly,website
"6/141 Snowy River Avenue, Jindabyne NSW 2627",no,AU,cafe | specialty grocery | deli,yes,yes,,,,,,,,,,,,,the-market-jindabyne,,,-36.4148,148.609,"The Market Jindabyne on Snowy River Avenue is part specialty grocery, part cafe. It serves excellent coffee (matcha, juice included), toasties on local sourdough, pastries and smoothie bowls, while also stocking a curated selection of cured meats, cheeses, honey, preserves, organic fruit and vegetables. The combination of eat-in and take-home produce makes it a great morning stop before the mountain or a lazy afternoon browse.",The Market Jindabyne,,,cards_accepted,,,$,snowy_mountains,not_needed,,"Specialty food and coffee shop stocking local produce, cured meats, cheese, honey and artisan groceries plus great coffee.",sourdough toastie | matcha latte | cured meats platter | artisan cheese selection,https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,yes,jindabyne,cafe,,
"Crackenback Valley, Crackenback NSW 2627",no,AU,French country | modern Australian | fine dining,yes,no,,,lunch and dinner (winter season),,dinner (seasonal),,,lunch and dinner (winter season),lunch and dinner (winter season),dinner,dinner (seasonal),dinner (seasonal),crackenback-farm-restaurant,,20:30,-36.453,148.493,"Crackenback Farm Restaurant is consistently cited as one of the best dining experiences in the entire Snowy Mountains region. The Glenn Murcutt-designed dining room has a soaring cathedral ceiling and a roaring open fireplace in winter. The French country-farmhouse menu is produce-driven, seasonal and complemented by a well-selected wine list. In season it opens for both lunch and dinner; outside ski season, dinner only on selected days. Reservations are essential.",Crackenback Farm Restaurant,,,cards_accepted,+61 2 6456 2601,,$$$,snowy_mountains,required,tel:+61264562601,"Award-winning French country restaurant 5 min from Jindabyne with cathedral ceiling, open fire and the best wine list in the Snowies.",seasonal French-Australian degustation | country farmhouse menu,https://www.crackenback.com | https://www.tripadvisor.com/Hotel_Review-g1858103-d1216485-Reviews-Crackenback_Farm_Restaurant_Guesthouse-Crackenback_New_South_Wales.html,no,jindabyne,restaurant,,https://www.crackenback.com
"62 Kosciusko Road, Jindabyne NSW 2627",yes,AU,bar food | modern Australian | cocktails,yes,no,,,varies,,varies,,,varies,varies,varies,varies,varies,squires-bar-bistro-horizons,,,-36.417,148.607,"Squires Bar & Bistro is the casual dining and drinking outlet at Horizons Lake Jindabyne, remaining open year-round as a complement to the premium Embers Fireside Restaurant which opens seasonally. The beer garden and Squires Cocktail Bar offer relaxed dining, local beers, cocktails and bistro meals. The lakeside hotel setting and waterfront views make it a popular choice for groups staying at Horizons or passing through.",Squires Bar & Bistro (Horizons Lake Jindabyne),,,cards_accepted,+61 2 6456 2562,,$$,snowy_mountains,not_needed,,Hotel bar and bistro at Horizons with beer garden and cocktail bar – open while Embers Fireside Restaurant is closed.,cocktails | local craft beer | bistro meals,https://www.horizonslakejindabyne.com.au/eat-drink/,no,jindabyne,bar,,https://www.horizonslakejindabyne.com.au/eat-drink/
"Nuggets Crossing Shopping Centre, Jindabyne NSW 2627",no,AU,groceries | supermarket,yes,yes,,,07:00–19:00,,07:00–19:00,,,07:00–19:00,07:00–19:00,07:00–19:00,07:00–19:00,07:00–19:00,jindabyne-iga-nuggets,,,-36.4148,148.61,"Jindabyne has a local IGA-affiliated grocer in addition to Woolworths, providing a convenient option for top-up grocery shopping. Stocking fresh produce, packaged goods, snacks, drinks and some specialty items, it's useful during peak ski season when Woolworths can be extremely busy. Opening hours are shorter than Woolworths, so check before making a special trip. Location and exact hours should be verified on arrival as the store configuration changes.",IGA / Local Grocer (formerly in Nuggets Crossing),,,cards_accepted,,,$,snowy_mountains,not_needed,,Local IGA-affiliated grocer in Jindabyne for top-up shopping when Woolworths is closed or too busy.,,https://accommodationjindabyne.com/things-to-do-type/groceries/,yes,jindabyne,cafe,,
"Kosciuszko Road, Jindabyne NSW 2627",no,AU,convenience | snacks | hot drinks,yes,yes,,,06:00–20:00,,06:00–20:00,,,06:00–20:00,06:00–20:00,06:00–20:00,06:00–20:00,06:00–20:00,ampol-foodary-jindabyne,,19:55,-36.4145,148.6105,"The Ampol Foodary on Kosciuszko Road is the practical early-morning stop for ski-day fuel. Open from 6:00am seven days a week, it's one of the first businesses in Jindabyne to open and stocks petrol, diesel, hot drinks, packaged snacks, sandwiches and convenience groceries. Essential for self-contained apartment guests needing to fill the car and grab a quick bite before the mountain run.",Ampol Foodary Jindabyne,,,cards_accepted,+61 2 6456 2576,,$,snowy_mountains,not_needed,,"Service station with attached convenience store open from 6am – essential for early-morning fuel, snacks and hot drinks before heading to the mountain.","hot coffee | packaged snacks | fuel (unleaded 91, 95, 98, diesel)",https://locations.ampol.com.au/en/ampol-foodary-jindabyne,yes,jindabyne,cafe,,https://locations.ampol.com.au/en/ampol-foodary-jindabyne
"5332 Kosciuszko Road, East Jindabyne NSW 2627",no,AU,convenience | fuel,yes,yes,,,06:30–18:30,,06:30–18:30,,,07:30–18:30,07:30–18:30,06:30–18:30,06:30–18:30,06:30–18:30,metro-petroleum-jindabyne,,18:25,-36.409,148.6265,"Metro Petroleum on Kosciuszko Road in East Jindabyne is the second service station in the Jindabyne area, useful for guests staying on the eastern side of the lake at Discovery Parks or Siesta Villa. Open from 6:30am on weekdays and 7:30am weekends, it provides fuel, basic convenience goods and cold drinks. Often cheaper fuel than the main-strip station.",Metro Petroleum Jindabyne (East Jindabyne),,,cards_accepted,+61 2 6456 7112,,$,snowy_mountains,not_needed,,"Second fuel and convenience stop in East Jindabyne, handy for Discovery Parks guests heading toward Perisher or Thredbo.","fuel (diesel, U91, U95, U98) | convenience snacks",https://petrolspy.com.au/map/station/53e060e2e4b0b6abc8d163c6,yes,jindabyne,cafe,,
"Shop 2, 70 Jindabyne Road, Berridale NSW 2628",no,AU,Australian | Cafe | Bakery,yes,no,,,06:30–14:00,,06:30–14:00,,,06:30–14:00,06:30–14:00,06:30–14:00,06:30–14:00,06:30–14:00,bean-and-barley-berridale,,13:45,-36.3808,148.8244,"The Bean & Barley is the best-reviewed cafe in Berridale (4.4 Google, 4.0 Tripadvisor) and the practical go-to for breakfast before heading to the slopes. Signature dishes include bacon and eggs, egg rolls, bacon rolls, cheesecake, and mud cake. The cafe has an airy, rustic ambience with outdoor seating, highchairs for kids, and accepts credit cards. Opens at 6:30–7am daily, closes at 2pm — meaning it's not an après-ski option.",The Bean & Barley,,,cards_accepted,+61 422 346 587,,$,snowy_mountains,not_needed,,"Berridale's main all-day cafe, open 7 days with breakfast, brunch, and lunch — charming rustic space with gluten-free options.",Bacon and eggs | Egg roll | Bacon roll | Cheesecake | Mud cake,https://www.tripadvisor.com/Restaurant_Review-g528921-d25353193-Reviews-The_Bean_Barley-Berridale_New_South_Wales.html | https://restaurantguru.com/The-Bean-and-Barley-Cafe-Berridale | https://www.atly.com/gluten-free/location/The-Bean-and-Barley---Cafe,yes,berridale,cafe,,
"66 Jindabyne Road, Berridale NSW 2628",yes,AU,Australian | Pub | Bar | Asian,yes,no,,,,,,,,,,,,,berridale-inn-pub-restaurant,,,-36.3808,148.8242,"The Berridale Inn is the town's main pub and social hub. The restaurant serves Australian and Asian-influenced food (including pub meals from a $10 budget menu and a full dinner menu). The public bar has darts, Keno, TAB, and big-screen TVs; the lounge bar is family-friendly with a pool table and beer garden. Reviews note comfortable warm ambience and friendly service. Important caveat: the pub posted a Facebook notice of temporary closure due to electrical issues in late 2024 — check current operating status before visiting.",Berridale Inn,,,cards_accepted,+61 2 6456 3209,,$$,snowy_mountains,not_needed,,"The town pub — Australian country bar with a restaurant serving Asian-influenced dishes, open fireplace, TAB, and beer garden.",Pub burgers | Asian stir-fries | Lime chilli squid,https://www.tripadvisor.com/Restaurant_Review-g528921-d6966357-Reviews-Berridale_Inn-Berridale_New_South_Wales.html | https://www.facebook.com/p/Berridale-Inn-100083099834437/ | https://www.acttourism.com.au/restaurants/dining/nsw/berridale/berridale-inn/130643,no,berridale,pub,,https://www.facebook.com/p/Berridale-Inn-100083099834437/
"Kosciuszko Road, Berridale NSW 2628",no,AU,Cafe | Coffee,yes,no,,,,,,,,,,,,,meet-you-halfway-berridale,,,-36.3815,148.823,"Meet You Halfway is a small but beloved Berridale institution — a vintage caravan coffee van on the Kosciuszko Road highway strip, now expanded with an adjoining dine-in creative space and art gallery. Run by Fen and Jase, the van is known for outstanding coffee (frequently called the best between Cooma and Jindabyne), Reuben toasties, and warm community atmosphere. Pet-friendly outdoor area. Opens early, making it ideal pre-ski. Closes in the afternoon — not an après option.",Meet You Halfway,,,cards_accepted,,,$,snowy_mountains,not_needed,,"Beloved vintage caravan coffee stop on Kosciuszko Road with community creative space, art gallery, and excellent espresso.",Reuben toastie | Espresso coffee | Baked treats,https://www.halfwaycoffee.com.au | https://thefold.com.au/nsw/snowy-mountains-region/food-drink/cafes-restaurants/meet-you-halfway/ | https://lamontmag.com/meet-you-halfway-the-berridale-coffee-van-thats-brewing-community-and-creativity/ | https://jindabyneskiaccommodation.com.au/suburbs/berridale/,yes,berridale,cafe,,https://www.halfwaycoffee.com.au
"20 Boundary Street, Berridale NSW 2628",yes,AU,Pizza | Italian,yes,no,,,12:00–19:00 (heat-to-eat); 17:00–close (fresh),,12:00–19:00 (heat-to-eat only),,,12:00–19:00 (heat-to-eat); 17:00–close (fresh),12:00–19:00 (heat-to-eat only),12:00–19:00 (heat-to-eat only),12:00–19:00 (heat-to-eat only),12:00–19:00 (heat-to-eat only),out-of-bounds-berridale-pizza,,,-36.3812,148.8235,"Out of Bounds is a wood-fired pizza van run by Anthony Green, a former skier who became Berridale's 2023 NSW Local Business of the Year. The dough is slow-fermented over days; toppings are locally sourced. The van offers two formats: fresh hot pizzas on Friday and Saturday from 5pm (phone orders from 5pm on 0412 867 751), and a heat-to-eat range of vacuum-sealed, oven-cooked pizzas available daily from noon for reheating at your accommodation — practical for groups staying in self-contained properties. Located at 20 Boundary Street per one source; van-based so may move.",Out of Bounds Berridale Pizza,,,cards_accepted,+61 412 867 751,,$,snowy_mountains,not_needed,,"Wood-fired pizza van run by a local legend — fresh pizzas Friday–Saturday from 5pm, heat-to-eat range available daily from noon.",Wood-fired pizza | Heat-to-eat vacuum-sealed pizza,https://outofboundsberridale.com.au | https://guide.lamontmag.com/out-of-bounds/ | https://www.zestapp.com.au/caterers/out-of-bounds-berridale-pizza/b29c1926-82ab-4ac7-bfd4-b6655ebec511,yes,berridale,restaurant,,https://outofboundsberridale.com.au
"255 Werralong Road, Dalgety NSW 2628",no,AU,Bar | Australian | Brewery | Winery,yes,no,,,10:00–17:00,,Closed,,,10:00–17:00,10:00–17:00,10:00–17:00,Closed,10:00–17:00,snowy-vineyard-microbrewery-dalgety,,,-36.49,149.01,"The Snowy Vineyard & Microbrewery (now rebranded as Dalgety Brewing Co) is a 1980s tourism landmark located 18 km from Berridale on 255 Werralong Road, Dalgety. Nine craft beers on tap including IPA, stout, and hefeweizen, plus the estate's own wines (shiraz, bubbly, ciders). The outdoor areas include Snowy River frontage, outdoor games, and farm animals. Food covers brunch, lunch, and share platters (antipasto, cheese/meat boards, sweet potato fries, wedges, chicken tacos). Open Wed–Sun. Phone: +61 1300 766 608. Note: this is ~18 km from central Berridale but is listed under Berridale 2628 in tourism directories.",Snowy Vineyard & Microbrewery (Dalgety Brewing Co),,,cards_accepted,+61 1300 766 608,,$$,snowy_mountains,not_needed,,"Iconic winery and microbrewery on the Snowy River — nine craft beers on tap, estate wines, share platters, and outdoor dining.",Craft beer sampler (4 beers) | Ginger cider | Antipasto platter | Sweet potato fries | Ploughman's platter | Cheese and charcuterie board,https://www.tripadvisor.com/Restaurant_Review-g528921-d5286206-Reviews-Snowy_Vineyard_Microbrewery-Berridale_New_South_Wales.html | https://snowymountains.com.au/directory/dalgety-brewing-company | https://visitcooma.com.au/attractions/snowy-vineyard-estate-dalgety/,no,berridale,bar,,
"35 Jindabyne Road, Berridale NSW 2628",yes,AU,Wine Bar | Providore | Deli,yes,yes,,,10:00–18:00,,10:00–18:00,,,10:00–18:00,10:00–17:00,10:00–18:00,10:00–18:00,10:00–18:00,little-grocer-shut-the-gate-berridale,,,-36.381,148.8238,"The Little Grocer Berridale is a gourmand's destination in a small town. It combines Shut The Gate's cellar door tasting room (cool-climate Tumbarumba and Hilltops wines), a premium providore stocked with artisan cheeses, charcuterie, pâté, fresh local sourdoughs, and Merimbula Lake oysters, plus craft beers and spirits. Build-your-own picnic platters can be enjoyed in the Secret Garden. Fresh produce arrives weekly. Also acts as Berridale's best bottle shop. Open Mon–Sat 10am–6pm, Sun 10am–5pm.",The Little Grocer / Shut The Gate Cellar Door,,,cards_accepted,+61 2 6456 4601,,$$,snowy_mountains,not_needed,,"Gourmet providore, bottle shop, and cellar door wine bar combined — artisan cheeses, sourdough, oysters, craft beer, and local wines.",Artisan cheese board | Charcuterie platter | Merimbula Lake oysters | Local sourdough | Wine tasting flight | DIY picnic platter,https://shutthegate.com.au/pages/visit-us | https://snowymountains.com.au/directory/the-little-grocer-berridale | https://www.visitnsw.com/destinations/snowy-mountains/jindabyne-area/berridale/food-and-drink/the-little-grocer-berridale | https://www.facebook.com/thelittlegrocerberridale/,yes,berridale,bar,,https://shutthegate.com.au/pages/visit-us
"74 Jindabyne Road, Berridale NSW 2628",,AU,Thai,,no,,,,,,,,,,,,,berridale-thai-restaurant,,,-36.3807,148.8245,Berridale Thai Restaurant is listed at 74 Jindabyne Road (same building as the Berridale LPO/Post Office). It appears to be a recent addition to the Berridale dining scene with no Tripadvisor reviews yet and no posted hours. Phone contact available. Inclusion is based on verified Tripadvisor listing with confirmed address and phone; details should be treated with caution until the business is more established.,Berridale Thai Restaurant,,,,+61 422 977 391,,,snowy_mountains,not_needed,,"Thai restaurant at 74 Jindabyne Road — newly listed, no reviews yet.",,https://www.tripadvisor.com/Restaurant_Review-g528921-d27561573-Reviews-Berridale_Thai_Restaurant-Berridale_New_South_Wales.html,,berridale,restaurant,,
"Lot 3 Southern Cross Drive, Berridale NSW 2628",yes,AU,Australian | International,yes,no,,,,,,,,,,,,,snowgate-restaurant-berridale,,,-36.3812,148.8235,"The SnowGate Restaurant is the on-site dining option at Snowgate Motel on Southern Cross Drive. It serves an international menu for breakfast and dinner and is one of the few Berridale options with evening meals available, making it relevant for après-ski dining. Open to non-motel guests. The bar is also accessible. Given the motel's ski-season focus, hours are most reliable during the June–September season.",SnowGate Restaurant,,,cards_accepted,+61 2 6456 3111,,$$,snowy_mountains,recommended,,Family restaurant inside the Snowgate Motel serving international cuisine for breakfast and dinner — open to non-guests.,,https://www.expedia.com.au/Berridale-Hotels-Snow-Gate-Motel-And-Apartments.h19287269.Hotel-Information | https://snowgatemotel.com.au,no,berridale,restaurant,,https://snowgatemotel.com.au
"1 Middlingbank Road, Berridale NSW 2628",yes,AU,Australian | Pub,yes,no,,,,,,,,,,,,,southern-cross-restaurant-berridale,,,-36.3793,148.8218,"The Southern Cross Motor Inn's 100-seat restaurant is one of the larger dining spaces in Berridale, serving pub-style meals with a bar/lounge and open fireplace. Open to the public, not just motel guests. Practical for groups or families wanting a sit-down dinner after skiing. The bar and fire make it a viable après-ski option in the ski season. No separate menu or hours published online — contact the motel directly.",Southern Cross Motor Inn Restaurant,,,cards_accepted,+61 2 6456 3289,,$,snowy_mountains,not_needed,,100-seat restaurant inside the Southern Cross Motor Inn with bar and open fireplace — open to the public.,,https://www.tripadvisor.com/Hotel_Review-g528921-d1104595-Reviews-Southern_Cross_Motor_Inn_Tourist_Park-Berridale_New_South_Wales.html,no,berridale,restaurant,,
Berridale NSW 2628,no,AU,Cafe | Australian,yes,no,,,,,,,,,,,,,the-19th-hole-berridale,,,-36.379,148.83,"The 19th Hole Berridale is the cafe at Coolamatong Snowy Mountains Country Club (golf club), located just outside central Berridale on the road to Jindabyne. It is listed on Tripadvisor with no reviews as yet. Based on the pattern of Australian club cafes, it likely serves coffee, sandwiches, and basic meals. Included for completeness given limited Berridale food options, but treat hours and offerings as unverified.",The 19th Hole Berridale,,,,,,$,snowy_mountains,not_needed,,Cafe at the Coolamatong Golf Club just outside Berridale — coffee and light meals for golfers and passers-by.,,https://www.tripadvisor.com/Restaurant_Review-g528921-d27561580-Reviews-The_Perfect_Cup-Berridale_New_South_Wales.html,no,berridale,cafe,,
"Jindabyne Road, Berridale NSW 2628",no,AU,Supermarket | Groceries,yes,yes,,,,,,,,,,,,,berridale-iga-supermarket,,,-36.3808,148.8245,"The IGA on Jindabyne Road is the primary grocery option in Berridale for self-catering ski groups. The store stocks standard supermarket essentials, pantry items, frozen food, and some fresh produce. For groups in self-contained properties — which cover a significant portion of Berridale's accommodation — this is a critical stop. Small-town IGA stores typically operate 7am–7pm Mon–Fri and reduced hours on weekends, though exact Berridale hours are not confirmed online. The IGA is also home to the Berridale LPO (post office) at Shop 6a, 74 Jindabyne Road.",IGA Berridale,,,cards_accepted,,,$,snowy_mountains,not_accepted,,The town's main supermarket on Jindabyne Road — essential for self-catering ski groups stocking up before heading to the mountain.,,https://auspost.com.au/locate/post-office/nsw/berridale/2628/berridale-lpo-226798 | https://www.iga.com.au,yes,berridale,supermarket,,https://www.iga.com.au
"Snowy Mountains Highway, Berridale NSW 2628",no,AU,Convenience | Takeaway,yes,no,,,,,,,,,,,,,united-service-station-berridale,,,-36.3815,148.8228,"The service station on the Snowy Mountains Highway through Berridale is an essential practical stop for ski-bound travellers — fuelling up, grabbing snacks, hot drinks, and convenience food before hitting the mountain. The exact operator (United, Caltex, or independent) is unconfirmed online but a fuel station is confirmed operational in town. Provides: petrol, diesel, LP gas, convenience store snacks, hot food/pies (likely), coffee. Open daily, extended hours during ski season likely.",Berridale Service Station,,,cards_accepted,,,$,snowy_mountains,not_accepted,,"Fuel, convenience snacks, and hot food on the highway — the last servo before Jindabyne heading to the snowfields.",Hot pies | Coffee | Convenience snacks,https://highcountryonline.com.au/berridale-crackenback-dalgety-jindabyne-thredbo-valley/,yes,berridale,service-station,,
Berridale NSW 2628,no,AU,Bakery,yes,no,,,,,,,,,,,,,berridale-bakery,,,-36.381,148.824,"The Berridale Bakery is listed as a nearby establishment in Tripadvisor's local data for Berridale (appearing as 'The Berridale Bakery' near Myack Street). No independent website or phone number has been confirmed. Given Berridale's small size and the existing Bean & Barley cafe, this may operate as a small-scale or part-time operation. Include with caution — verify hours and current operation locally before visiting.",The Berridale Bakery,,,,,,$,snowy_mountains,not_accepted,,Local bakery in central Berridale — listed in nearby attraction data but hours and details unconfirmed.,,https://www.tripadvisor.com/Restaurant_Review-g528921-d27561580-Reviews-The_Perfect_Cup-Berridale_New_South_Wales.html,yes,berridale,bakery,,
"177-179 Sharp Street, Cooma NSW 2630",no,AU,cafe | australian | breakfast,yes,no,,,07:00-14:00,,07:00-14:00,,,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,the-lott-cafe-cooma,,13:45,-36.236,149.1268,"Open since 2007, The Lott Cafe has built a loyal following with a focus on fresh, local produce and seriously good coffee (Killerbee blend and Single-O Origins). With 419 TripAdvisor reviews, it is comfortably the most-reviewed eatery in town. The Sharp/Soho Street corner location puts it at the heart of the morning ski-day rush. Closes at 2pm, so best visited before hitting the mountain.",The Lott Cafe,,,cards_accepted,+61 2 6452 1414,https://thelottcafe.com.au,$$,snowy_mountains,not_needed,,"Cooma's most-reviewed cafe; sharp espresso, fresh local produce, all-day breakfast.",all-day breakfast | fresh sandwiches | specialty coffee | seasonal produce dishes,https://thelottcafe.com.au | https://www.tripadvisor.com/Restaurants-g261610-Cooma_New_South_Wales.html | https://visitcooma.com.au/coffee-food-wine/cooma-coffee-food-the-lott-cafe-cooma-visitor-centre/,yes,cooma,cafe,,https://thelottcafe.com.au
"178-180 Sharp Street, Cooma NSW 2630",no,AU,bakery | australian | cafe,yes,no,,,08:00-17:00,,08:00-17:00,,,08:00-15:00,09:00-15:00,08:00-17:00,08:00-17:00,08:00-17:00,kuma-pies-pastries,,16:45,-36.2365,149.127,"Kuma Pies is a small artisan bakery tucked towards the southern end of Sharp Street, with a cosy back room warmed by an open fire in winter. The beef and mushroom pie and chicken and leek pie are regularly cited as among the best in NSW. Fresh pastries — cherry Danish, apple turnover, vanilla slice, hazelnut yumpie — are baked on-site daily. A mandatory stop for any Cooma visitor; peak-season queues indicate its cult status. TripAdvisor #1 Bakery in Cooma, 162 reviews.",Kuma Pies and Pastries,,,cards_accepted,+61 2 6452 6337,,$$,snowy_mountains,not_accepted,,"Cooma's best bakery; legendary meat pies, flaky pastries, and apple turnovers on Sharp Street.",beef and mushroom pie | chicken and leek pie | apple turnover | cherry Danish | vanilla slice,https://www.tripadvisor.com.au/Restaurant_Review-g261610-d2516026-Reviews-Kuma_Pies_and_Pastries-Cooma_New_South_Wales.html | https://www.yelp.com/biz/kuma-pies-cooma,yes,cooma,bakery,,
"123 Sharp Street, Cooma NSW 2630",no,AU,cafe | vietnamese | breakfast | brunch,yes,no,,,07:00-17:00,,07:00-17:00,,,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,123-coffee-house,,16:45,-36.2355,149.126,"123 Coffee House sits at 123 Sharp Street and blends classic all-day brunch fare with a selection of Vietnamese dishes, fresh juices, and pre-made sandwiches. It uses ONA Coffee, a respected Canberra specialty roaster. Open 7 days from 7am to 5pm, it's one of the most accessible cafes in Cooma for late-morning après-drive coffee. Vegetarian and vegan options available.",123 Coffee House,,,cards_accepted,+61 2 6452 3332,,$,snowy_mountains,not_needed,,"All-day brunch café with Vietnamese dishes, fresh juices, and ONA coffee — open 7 days to 5pm.",all-day breakfast | Vietnamese dishes | fresh juices | ONA coffee,https://www.tripadvisor.com/Restaurant_Review-g261610-d7974556-Reviews-123_Coffee_House-Cooma_New_South_Wales.html | https://www.yelp.com/biz/123-coffee-house-cooma-2,yes,cooma,cafe,,https://123coffeehouse.com
"24 Soho Street, Cooma NSW 2630",yes,AU,thai | asian,yes,no,,,"11:30-14:00,17:30-21:30",,closed,,,17:30-21:30,closed,"11:30-14:00,17:30-21:30","11:30-14:00,17:30-21:30","11:30-14:00,17:30-21:30",phas-thai-cooma,,21:15,-36.2352,149.1248,Pha's Thai recently moved from Sharp Street to 24 Soho Street in Cooma CBD. It is the most-reviewed Thai restaurant in the region and well regarded for authentic flavours and generous portions. Open Tuesday to Saturday for both lunch and dinner sessions. Closed Sunday and Monday. Online ordering and table bookings available through the website.,Pha's Thai,,,cards_accepted,+61 2 6452 5489,https://phasthai.com.au,$$,snowy_mountains,recommended,https://phasthai.com.au,"Popular Thai restaurant on Soho Street; 177 TripAdvisor reviews, lunch and dinner Tue–Sat.",pad thai | green curry | massaman curry | Thai seafood,https://phasthai.com.au | https://www.tripadvisor.com.au/Restaurant_Review-g261610-d3199961-Reviews-Pha_s_Thai-Cooma_New_South_Wales.html | https://visitcooma.com.au/coffee-food-wine/phas-thai-kitchen/,yes,cooma,restaurant,,https://phasthai.com.au
"Shop 1, 69 Massie Street, Cooma NSW 2630",yes,AU,lebanese | mediterranean,yes,no,,,"11:30-14:00,18:00-21:00",,"11:30-14:00,18:00-21:00",,,"11:30-14:00,18:00-21:00",closed,"11:30-14:00,18:00-21:00","11:30-14:00,18:00-21:00","11:30-14:00,18:00-21:00",roses-lebanese-restaurant,,20:45,-36.2349,149.1237,"Rose's Lebanese Restaurant on Massie Street is Cooma's most-loved ethnic restaurant, with 283 TripAdvisor reviews and consistent praise for hearty Lebanese and Mediterranean dishes. Open Monday to Saturday for lunch and dinner. The family atmosphere and generous meze platters have built a loyal following among locals and ski-season visitors alike. Closed Sunday.",Rose's Lebanese Restaurant,,,cards_accepted,+61 2 6452 4512,,$$,snowy_mountains,recommended,,"Beloved Lebanese-Mediterranean restaurant on Massie Street; 283 reviews, Mon–Sat.",meze platter | Lebanese lamb | falafel | hummus,https://www.tripadvisor.com/Restaurant_Review-g261610-d2442672-Reviews-Rose_s_Lebanese_Restaurant-Cooma_New_South_Wales.html | https://visitcooma.com.au/coffee-food-wine/roses-lebanese-restaurant/,yes,cooma,restaurant,,
"Mt Gladstone Road, Snowy Mountains Highway, Cooma NSW 2630",yes,AU,austrian | cafe | european,yes,no,,,"10:00-17:00,18:00-21:00",,10:00-15:00,,,"10:00-17:00,18:00-21:00",10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,miss-heidis-tea-house,,20:45,-36.2258,149.1146,"Miss Heidi's Austrian Tea House sits just below Mt Gladstone Lookout on the Snowy Mountains Highway, bringing an unexpected slice of alpine Europe to Cooma. Traditional Viennese schnitzel, Austrian pancakes with toppings, strudel, and Sacher torte fill the menu. Open 7 days until 5pm; Friday and Saturday dinner service 6–9pm brings the après-ski feel. With 205 TripAdvisor reviews it is one of the most distinctive dining experiences in the Monaro. Off-street parking available.",Miss Heidi's Austrian Tea House,,,cards_accepted,+61 2 6452 1768,,$$,snowy_mountains,recommended,,"Alpine Austrian tea house near Mt Gladstone Lookout; schnitzel, strudel, Fri–Sat dinner.",Viennese schnitzel | Austrian pancakes | apple strudel | Sacher torte,https://www.tripadvisor.com/Restaurant_Review-g261610-d3439624-Reviews-Miss_Heidi_s_Tea_House-Cooma_New_South_Wales.html | https://www.agfg.com.au/restaurant/miss-heidis-austrian-tea-house-39664,no,cooma,cafe,,
"106 Vale Street, Cooma NSW 2630",yes,AU,pub | australian | bar,yes,no,,,10:00-00:00,,10:00-22:00,,,10:00-00:00,10:00-22:00,10:00-23:00,10:00-22:00,10:00-23:00,cooma-ex-services-club-bistro,,20:45,-36.234,149.122,"The Cooma Ex-Services Club on Vale Street is the largest club in the Snowy Monaro region, open 7 days a week from 10am. The in-house bistro serves generous portions at excellent value for money — one of Cooma's most popular dinner spots for ski visitors on a budget. Lunch 11:30am–2pm, dinner Sun–Tue 5–8:30pm and Wed–Sat 5–9pm. Non-members can attend as guests. Conference and function facilities also available.",Cooma Ex-Services Club Bistro,,,cards_accepted,+61 2 6452 1144,,$,snowy_mountains,not_needed,,"Largest club on the Monaro; affordable bistro meals open 7 days, members and visitors welcome.",schnitzel | steak | fish and chips | roast of the day,https://www.coomaexservices.com.au/welcome-to-cooma-ex-services-club/ | https://visitcooma.com.au/coffee-food-wine/cooma-ex-servicemans-club-bistro/,no,cooma,bar,,https://www.coomaexservices.com.au
"170 Sharp Street, Cooma NSW 2630",yes,AU,pub | australian | bar,yes,no,,,"12:00-14:00,18:00-21:00",,"12:00-14:00,18:00-21:00",,,"12:00-14:00,18:00-21:00","12:00-14:00,18:00-21:00","12:00-14:00,18:00-21:00","12:00-14:00,18:00-21:00","12:00-14:00,18:00-21:00",alpine-hotel-bistro,,20:45,-36.2362,149.1265,"The Alpine Hotel bistro on Sharp Street is a standout for pub dining in Cooma, with 10 beers on tap, an open fire in cooler months, and a menu that covers classics like steak, schnitzel, and chicken parmi. Lunch 12–2pm, dinner 6–9pm daily. The TripAdvisor-reviewed restaurant arm has 212 reviews and is popular for post-mountain dinners. Secure garage parking for motorcycles and special vehicles.",Alpine Hotel Bistro,,,cards_accepted,+61 2 6452 1466,,$$,snowy_mountains,not_needed,,"Central pub with 10 beers on tap, open fire, and bistro serving 7 days for lunch and dinner.",steak | chicken parmi | fish and chips | pub classics,https://www.tripadvisor.com/Restaurants-g261610-Cooma_New_South_Wales.html | https://www.accommodationaustralia.com.au/accommodation/tasmania/nsw/cooma/alpine-hotel/31665,no,cooma,pub,,https://www.alpinehotel.com.au
