"prefecture","canonical_name","normalized_identity","coverage_disposition","source_membership","source_original_names","source_urls","retrieval_dates","operating_evidence_status","operating_evidence_url","operating_evidence_as_of","feelzlike_urls","exceptions"
"Gifu","Hōnokidaira Ski Area","honokidairaskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Hōnokidaira Ski Area | Hōnokidaira Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gifu","Ibi Kogen Kaitsuki","ibikogenkaitsuki","unresolved","japan-ski-resorts-558 | skiresort-japan-directory","Ibi Kogen Kaitsuki | Ibi Kogen Kaitsuki (temporarily closed)","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/ibi-kogen-kaitsuki/","2026-07-13 | 2026-08-24","unresolved","","","",""
"Gifu","Ibi Kōgen Ski Area","ibikogenskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Ibi Kōgen Ski Area | Ibi Kōgen Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gifu","Isshiki Kokusai","isshikikokusai","unresolved","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Isshiki Kokusai | Isshiki Kokusai | Isshiki Kokusai Ski Area | Isshiki Kokusai Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/isshiki-kokusai/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","unclear","","2026-08-26","",""
"Gifu","Itoshiro","itoshiro","unresolved","japan-ski-resorts-558 | skiresort-japan-directory","Itoshiro | Itoshiro","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/itoshiro/","2026-07-13 | 2026-08-24","unclear","","2026-08-26","",""
"Gifu","Itoshiro Charlotte Town","itoshirocharlottetown","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Itoshiro Charlotte Town | Itoshiro Charlotte Town","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gifu","Kasuga Chojadaira","kasugachojadaira","unresolved","japan-ski-resorts-558 | wikipedia-japan-specific | wikipedia-worldwide-japan","Kasuga Chojadaira | Kasuga Chōjadaira Ski Area | Kasuga Chōjadaira Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-26 | 2026-08-26","unclear","","2026-08-26","",""
"Gifu","Kunimi Takeshi Ski Area","kunimitakeshiskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Kunimi Takeshi Ski Area | Kunimi Takeshi Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gifu","Meiho Ski Resort","meiho","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Meiho | Meiho | Meihō Ski Area | Meihō Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/meiho/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://www.meihoski.co.jp/winter/","2026-08-26","/gifu-aichi/mountain/meiho-ski-resort",""
"Gifu","Mont Deus Park Ski Area","montdeushidakuraiyamasnowpark","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Mont Deus Hidakuraiyama Snow Park | Mont Deus Hidakuraiyama Snow Park | Mont Deus Hida Kuraiyama Snow Park | Mont Deus Hida Kuraiyama Snow Park","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/mont-deus-hidakuraiyama-snow-park/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://montdeus.jp/","2026-08-26","/gifu-aichi/mountain/mont-deus-park-ski-area",""
"Gifu","Motai","motai","unresolved","japan-ski-resorts-558 | skiresort-japan-directory","Motai | Motai","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/motai/","2026-07-13 | 2026-08-24","unclear","","2026-08-26","",""
"Gifu","Nigorigo Onsen","nigorigoonsen","unresolved","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Nigorigo Onsen | Nigorigo Onsen | Nigorigo Onsen Ski Area | Nigorigo Onsen Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/nigorigo-onsen/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","unclear","","2026-08-26","",""
"Gifu","Outdoor Inn Motai","outdoorinnmotai","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Outdoor Inn Motai | Outdoor Inn Motai","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gifu","Shirakawagō Hirase Onsen Shiroyumi Ski Area","shirakawagohiraseonsenshiroyumiskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Shirakawagō Hirase Onsen Shiroyumi Ski Area | Shirakawagō Hirase Onsen Shiroyumi Ski Area","https://en.wikipedia.org/wiki/Historic_Villages_of_Shirakawa-gō_and_Gokayama | https://en.wikipedia.org/wiki/Historic_Villages_of_Shirakawa-gō_and_Gokayama","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gifu","Shirakigamine","shirakigamine","unresolved","japan-ski-resorts-558 | skiresort-japan-directory","Shirakigamine | Shirakigamine","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/shirakigamine/","2026-07-13 | 2026-08-24","unclear","","2026-08-26","",""
"Gifu","Shirao","shirao","unresolved","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Shirao | Shirao (temporarily closed) | Shirao Ski Area | Shirao Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/shirao/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","unresolved","","","",""
"Gifu","Shirotori Snow Resort","shirotorisnowresort","unresolved","japan-ski-resorts-558 | skiresort-japan-directory","Shirotori Snow Resort | Shirotori Snow Resort","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/shirotori-snow-resort/","2026-07-13 | 2026-08-24","unclear","","2026-08-26","",""
"Gifu","Shokawa Kogen","shokawakogen","closed","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Shokawa Kogen | Shokawa Kogen | Shōkawa Kōgen Ski Area | Shōkawa Kōgen Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/shokawa-kogen/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","closed","https://www.hidatakayama.or.jp/spot/detail_1404.html","2026-08-26","",""
"Gifu","Snova Hashima – Gifu","snovahashimagifu","out_of_scope","japan-ski-resorts-558 | skiresort-japan-directory","Snova Hashima – Gifu | Snova Hashima – Gifu (indoor ski area) (temporarily closed)","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/snova-hashima-gifu/","2026-07-13 | 2026-08-24","unresolved","","","",""
"Gifu","Snova Hashima (Indoor)","snovahashima","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Snova Hashima (Indoor) | Snova Hashima (Indoor)","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gifu","Snow Wave Park Shiratori Kogen","shiratorikogen","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Shiratori Kogen | Shiratori Kogen | Snow Wave Park Shiratori Kōgen | Snow Wave Park Shiratori Kōgen","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/shiratori-kogen/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://siratori-k.jp/swp/info/2025-2026%e3%82%b7%e3%83%bc%e3%82%ba%e3%83%b3%e7%b5%82%e4%ba%86%e3%81%ae%e3%81%8a%e7%9f%a5%e3%82%89%e3%81%9b/","2026-08-26","/gifu-aichi/mountain/snow-wave-park-shiratori-kogen",""
"Gifu","Star Spure Ryokufū Resort Hida Nagareha","starspureryokufuresorthidanagareha","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Star Spure Ryokufū Resort Hida Nagareha | Star Spure Ryokufū Resort Hida Nagareha","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gifu","Takasu Snow Park","takasusnowpark","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Takasu Snow Park | Takasu Snow Park | Takasu Snow Park | Takasu Snow Park","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/takasu-snow-park/ | https://en.wikipedia.org/wiki/Takasu_Snow_Park | https://en.wikipedia.org/wiki/Takasu_Snow_Park","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://www.takasu.gr.jp/news/2026/04/19/10315/","2026-08-26","/gifu-aichi/mountain/takasu-snow-park",""
"Gifu","Washigatake Ski Area","washigatakeskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Washigatake Ski Area | Washigatake Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gifu","Washitopia (Washigatake / White Pia Takasu)","washigatakewhitepia","published_directly","japan-ski-resorts-558 | skiresort-japan-directory","Washigatake/White Pia | Washigatake/​White Pia","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/washigatake-white-pia/","2026-07-13 | 2026-08-24","verified_operating","https://ski.washigatake.jp/","2026-08-26","/gifu-aichi/mountain/washitopia-washigatake-white-pia-takasu",""
"Gifu","White Pia Takasu","whitepiatakasu","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","White Pia Takasu | White Pia Takasu","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gifu","Winghills Shirotori Resort","winghillsshirotoriresort","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Winghills Shirotori Resort | Winghills Shirotori Resort | Winghills Shirotori Resort | Winghills Shirotori Resort","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/winghills-shirotori-resort/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://winghills.net/snow/coursemap/","2026-08-26","/gifu-aichi/mountain/winghills-shirotori-resort",""
"Gifu","Youland – Sakauchi","youlandsakauchi","unresolved","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Youland – Sakauchi | Youland – Sakauchi | Youland Sakauchi | Youland Sakauchi","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/youland-sakauchi/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","unclear","","2026-08-26","",""
"Gunma","Akagiyama","akagiyama","unresolved","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Akagiyama | Akagiyama | Akagiyama Ski Area | Akagiyama Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/akagiyama/ | https://en.wikipedia.org/wiki/Mount_Akagi | https://en.wikipedia.org/wiki/Mount_Akagi","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","unclear","https://www.oonumasansougroup.com/","2026-08-26","",""
"Gunma","Akazawa","akazawa","closed","japan-ski-resorts-558 | skiresort-japan-directory","Akazawa | Akazawa","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/akazawa/","2026-07-13 | 2026-08-24","closed","https://www.town.minakami.gunma.jp/politics/05kouhou/2024/files/20240301_kouhou_all.pdf","2026-08-26","",""
"Gunma","Ca et là Ski Resort Oze","caetlaskiresortoze","unresolved","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Ca et là Ski Resort Oze | Ca et là Ski Resort Oze (temporarily closed) | Caetla Ski Resort Oze | Caetla Ski Resort Oze","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/ca-et-la-ski-resort-oze/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","unresolved","","","",""
"Gunma","Fujiwara Snow & Spa Resort","minakamikogenfujiwara","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Minakami Kogen Fujiwara | Minakami Kogen Fujiwara | Minakami Kōgen Fujiwara Ski Area | Minakami Kōgen Fujiwara Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/minakami-kogen-fujiwara/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://fujiwaraski.com/2025%ef%bc%8d2026%e3%82%b7%e3%83%bc%e3%82%ba%e3%83%b3%e3%81%ae%e5%96%b6%e6%a5%ad%e3%81%ab%e3%81%a4%e3%81%84%e3%81%a6/","2026-08-26","/minakami/mountain/fujiwara-snow-spa-resort",""
"Gunma","Gunma Minakami Hodaigi Ski Resort","hodaigiresortminakami","published_directly","japan-ski-resorts-558 | skiresort-japan-directory","Hodaigi Resort – Minakami | Hodaigi Resort – Minakami","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/hodaigi-resort-minakami/","2026-07-13 | 2026-08-24","verified_operating","https://hodaigi.jp/","2026-08-26","/minakami/mountain/gunma-minakami-hodaigi-ski-resort",""
"Gunma","Hotaka Bokujō Ski Area","hotakabokujoskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Hotaka Bokujō Ski Area | Hotaka Bokujō Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gunma","Hotaka Olympia","hotakaolympia","unresolved","japan-ski-resorts-558 | skiresort-japan-directory","Hotaka Olympia | Hotaka Olympia","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/hotaka-olympia/","2026-07-13 | 2026-08-24","unclear","","2026-08-26","",""
"Gunma","Karuizawa Snow Park","karuizawasnowpark","published_directly","japan-ski-resorts-558 | skiresort-japan-directory","Karuizawa Snow Park | Karuizawa Snow Park","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/karuizawa-snow-park/","2026-07-13 | 2026-08-24","verified_operating","https://karuizawa-snowpark.com/news/","2026-08-26","/gunma-regional/mountain/karuizawa-snow-park",""
"Gunma","Katashina Kogen Ski Area","katashinakogenresort","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Katashina Kogen Resort | Katashina Kogen Resort | Katashina Kōgen Ski Area | Katashina Kōgen Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/katashina-kogen-resort/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://katashinakogen.co.jp/","2026-08-26","/gunma-regional/mountain/katashina-kogen-ski-area",""
"Gunma","Kawaba Ski Resort","kawaba","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Kawaba | Kawaba | Kawaba Ski Area | Kawaba Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/kawaba/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://www.kawaba.co.jp/topics/7182/","2026-08-26","/gunma-regional/mountain/kawaba-ski-resort",""
"Gunma","Kazawa Snow Area","kazawa","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Kazawa | Kazawa | Kazawa Snow Area | Kazawa Snow Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/kazawa/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","http://www.kazawa.com/snow/","2026-08-26","/gunma-regional/mountain/kazawa-snow-area",""
"Gunma","Kusatsu Kokusai Snow & Spa Resort","kusatsukokusaisnowsparesort","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Kusatsu Kokusai Snow & Spa Resort | Kusatsu Kokusai Snow & Spa Resort","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gunma","Kusatsu Ongaku no Mori Ski Area","kusatsuongakunomoriskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Kusatsu Ongaku no Mori Ski Area | Kusatsu Ongaku no Mori Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gunma","Kusatsu Onsen Ski Resort","kusatsuonsen","published_directly","japan-ski-resorts-558 | skiresort-japan-directory","Kusatsu Onsen | Kusatsu Onsen","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/kusatsu-onsen/","2026-07-13 | 2026-08-24","verified_operating","https://www.932-onsen.com/winter/news/234.php","2026-08-26","/kusatsu-manza/mountain/kusatsu-onsen-resort",""
"Gunma","Malnuma Kōgen Ski Area","malnumakogenskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Malnuma Kōgen Ski Area | Malnuma Kōgen Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gunma","Manza Onsen Ski Resort","manzaonsen","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Manza Onsen | Manza Onsen | Manza Onsen Ski Resort | Manza Onsen Ski Resort","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/manza-onsen/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://www.princehotels.com/manza/wp-content/uploads/sites/42/2025/10/%E3%80%90%E8%8B%B1%E8%AA%9E%E3%80%91%E3%80%90%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B%E3%80%91%E4%B8%87%E5%BA%A7%EF%BC%B3%E3%83%BB%E9%AB%98%E5%8E%9FH%E4%BB%8A%E5%AD%A3%E5%96%B6%E6%A5%AD%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6spw7.pdf","2026-08-26","/kusatsu-manza/mountain/manza-onsen-resort",""
"Gunma","Marunuma Kogen Ski Resort","marunumakogen","published_directly","japan-ski-resorts-558 | skiresort-japan-directory","Marunuma Kogen | Marunuma Kogen","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/marunuma-kogen/","2026-07-13 | 2026-08-24","verified_operating","https://www.marunuma.jp/winter/14038/","2026-08-26","/gunma-regional/mountain/marunuma-kogen-ski-resort",""
"Gunma","Minakami Hōdaigi Ski Area","minakamihodaigiskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Minakami Hōdaigi Ski Area | Minakami Hōdaigi Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gunma","Minakami Kogen Ski Resort","minakamikogen","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Minakami Kogen | Minakami Kogen | Minakami Kōgen Ski Area | Minakami Kōgen Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/minakami-kogen/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://en.minakami-ski.jp/price/","2026-08-26","/minakami/mountain/minakami-kogen",""
"Gunma","Minakami Ōana Ski Area","minakamioanaskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Minakami Ōana Ski Area | Minakami Ōana Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gunma","Minakami Town Akasawa Ski Area","minakamitownakasawaskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Minakami Town Akasawa Ski Area | Minakami Town Akasawa Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Gunma","Mt.T by Hoshino Resorts","mounttanigawatanigawadaketenjindaira","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Mount Tanigawa – Tanigawadake Tenjindaira | Mount Tanigawa – Tanigawadake Tenjindaira | Tanigawadake Tenjindaira Ski Area | Tanigawadake Tenjindaira Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/mount-tanigawa-tanigawadake-tenjindaira/ | https://en.wikipedia.org/wiki/Mount_Tanigawa | https://en.wikipedia.org/wiki/Mount_Tanigawa","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://tanigawadake-joch.com/en/mt-t/news/2025-26-season-opens-december-20/","2026-08-26","/minakami/mountain/tenjindaira",""
"Gunma","Niiharu Sonei Akazawa","niiharusoneiakazawa","merged_or_renamed","japan-ski-resorts-558 | skiresort-japan-directory","Niiharu Sonei Akazawa | Niiharu Sonei Akazawa","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/niiharu-sonei-akazawa/","2026-07-13 | 2026-08-24","merged_into","https://www.town.minakami.gunma.jp/politics/05kouhou/2024/files/20240301_kouhou_all.pdf","2026-08-26","",""
"Gunma","Norn Minakami Ski Resort","nornminakami","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Norn Minakami | Norn Minakami | Norn Minakami Ski Resort | Norn Minakami Ski Resort","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/norn-minakami/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://www.norn.co.jp/winter/news/post-9467/","2026-08-26","/minakami/mountain/norn-minakami",""
